,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
0,1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,GBP,09/10/15,100000,11/08/15 12:12,0,failed,0,GB,0.0,0,USD 153395
1,1000003930,Greeting From Earth: ZGAC Arts Capsule For ET,Narrative Film,Film & Video,USD,01/11/17,3000000,02/09/17 04:43,242100,failed,15,US,10000.0,242100,USD 3000000
2,1000004038,Where is Hank?,Narrative Film,Film & Video,USD,26/02/13,4500000,12/01/13 00:20,22000,failed,3,US,22000.0,22000,USD 4500000
3,1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,16/04/12,500000,17/03/12 03:24,100,failed,1,US,100.0,100,USD 500000
4,1000011046,Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,Film & Video,USD,29/08/15,1950000,04/07/15 08:35,128300,canceled,14,US,128300.0,128300,USD 1950000
5,1000014025,Monarch Espresso Bar,Restaurants,Food,USD,01/04/16,5000000,26/02/16 13:38,5237500,successful,224,US,5237500.0,5237500,USD 5000000
6,1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,21/12/14,100000,01/12/14 18:30,120500,successful,16,US,120500.0,120500,USD 100000
7,1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,17/03/16,2500000,01/02/16 20:05,45300,failed,40,US,45300.0,45300,USD 2500000
8,1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,Product Design,Design,USD,29/05/14,12500000,24/04/14 18:14,823300,canceled,58,US,823300.0,823300,USD 12500000
9,100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Documentary,Film & Video,USD,10/08/14,6500000,11/07/14 21:55,624057,canceled,43,US,624057.0,624057,USD 6500000
10,100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,09/10/13,250000,09/09/13 18:19,0,failed,0,CA,0.0,0,USD 240639
11,100005484,Lisa Lim New CD!,Indie Rock,Music,USD,08/04/13,1250000,09/03/13 06:42,1270000,successful,100,US,1270000.0,1270000,USD 1250000
12,1000055792,The Cottage Market,Crafts,Crafts,USD,02/10/14,500000,02/09/14 17:11,0,failed,0,US,0.0,0,USD 500000
13,1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,25/03/16,20000000,09/02/16 23:01,0,failed,0,US,0.0,0,USD 20000000
14,1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,03/05/17,500000,05/04/17 19:44,9417500,successful,761,GB,5776378.0,12185733,USD 646973
15,1000064368,Survival Rings,Design,Design,USD,28/02/15,250000,29/01/15 02:10,66400,failed,11,US,66400.0,66400,USD 250000
16,1000064918,The Beard,Comic Books,Comics,USD,08/11/14,150000,09/10/14 22:27,39500,failed,16,US,39500.0,39500,USD 150000
17,1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,10/05/15,300000,10/04/15 21:20,78900,failed,20,US,78900.0,78900,USD 300000
18,1000070642,Mike Corey's Darkness & Light Album,Music,Music,USD,17/08/12,25000,02/08/12 14:11,25000,successful,7,US,25000.0,25000,USD 25000
19,1000071625,Boco Tea,Food,Food,USD,02/06/12,500000,03/05/12 17:24,178100,failed,40,US,178100.0,178100,USD 500000
20,1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,30/12/13,2000000,25/11/13 07:06,3426800,successful,624,US,3426800.0,3426800,USD 2000000
21,1000081649,MikeyJ clothing brand fundraiser,Childrenswear,Fashion,AUD,07/09/17,250000,08/08/17 01:20,100,failed,1,AU,0.0,81,USD 202610
22,1000082254,Alice in Wonderland in G Minor,Theater,Theater,USD,15/06/14,350000,16/05/14 10:10,65000,failed,12,US,65000.0,65000,USD 350000
23,1000087442,Mountain brew: A quest for alcohol sustainability,Drinks,Food,NOK,25/02/15,50000,26/01/15 19:17,4800,failed,3,NO,618.0,629,USD 6555
24,1000091520,The Book Zoo - A Mini-Comic,Comics,Comics,USD,12/11/14,17500,23/10/14 17:15,70166,successful,66,US,70166.0,70166,USD 17500
25,1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,Music,USD,06/01/11,1000000,07/12/10 23:16,1582700,successful,147,US,1582700.0,1582700,USD 1000000
26,1000103948,Superhero Teddy Bear,DIY,Crafts,GBP,05/01/16,1200000,06/12/15 20:09,0,failed,0,GB,0.0,0,USD 1748965
