ID,Text Description,Video,Image,Infographic,Reviews,Risks
1000002330,1,1,1,1,0,1
1000003930,1,1,1,1,1,0
1000004038,1,0,1,1,0,1
1000007540,1,1,0,1,0,0
1000011046,1,0,1,0,0,0
1000014025,1,1,1,0,0,0
1000023410,1,1,0,0,1,0
1000030581,1,0,0,1,0,1
1000034518,1,1,0,0,0,1
100004195,1,0,0,0,1,1
100004721,1,0,1,1,1,0
100005484,1,0,0,0,1,0
1000055792,1,0,0,1,0,0
1000056157,1,0,1,0,0,0
1000057089,1,0,1,0,1,1
1000064368,1,1,0,1,1,0
1000064918,1,0,1,1,0,1
1000068480,1,0,1,0,1,1
1000070642,1,0,1,1,0,0
1000071625,1,0,0,0,0,1
1000072011,1,0,1,0,1,1
1000081649,1,1,0,1,0,1
1000082254,1,0,0,1,1,0
1000087442,1,1,0,1,0,1
1000091520,1,0,1,1,0,1
1000102741,1,1,0,1,0,0
1000103948,1,1,0,0,1,0
1000104688,1,1,0,0,0,1
1000104953,1,0,1,0,0,0
100011318,1,0,0,0,0,1
1000115172,1,1,0,0,1,1
1000117861,1,0,1,1,0,0
1000120151,1,0,1,0,1,1
1000120287,1,1,0,0,1,1
100012079,1,0,1,0,0,0
1000129669,1,0,1,1,0,1
1000131947,1,1,1,1,0,1
1000132945,1,0,0,0,0,1
1000134913,1,1,1,1,1,1
1000146991,1,1,0,0,1,1
1000149007,1,1,1,1,1,0
1000153208,1,0,1,1,0,1
1000160286,1,1,1,1,0,1
1000170964,1,1,0,1,0,1
1000171141,1,0,0,0,0,1
1000182258,1,1,0,1,0,0
1000183112,1,1,0,0,1,1
1000184224,1,1,0,1,1,1
1000190427,1,0,1,1,0,0
1000197321,1,1,0,0,1,0
1000201265,1,1,1,0,1,1
100020143,1,1,0,0,0,1
1000202062,1,0,0,1,0,0
1000212914,1,1,0,0,0,1
1000216800,1,1,0,1,0,1
1000217634,1,1,0,1,1,0
1000226576,1,0,0,0,1,0
1000227361,1,1,1,1,1,0
1000230071,1,1,1,1,1,0
1000232288,1,1,0,0,0,0
1000233415,1,0,0,0,0,1
1000234595,1,1,0,1,1,1
1000235465,1,0,1,1,0,0
1000235643,1,0,1,0,1,1
1000243793,1,0,0,1,1,1
1000245024,1,0,1,1,1,1
1000252415,1,0,1,0,1,0
1000256230,1,0,0,0,0,1
1000256760,1,0,0,0,1,0
1000257563,1,0,1,0,1,0
1000260691,1,0,0,1,0,0
1000261018,1,1,1,1,0,0
1000268182,1,0,0,0,0,1
1000278154,1,0,0,0,1,1
1000282287,1,0,0,0,0,0
1000291122,1,1,1,0,1,0
1000291263,1,0,0,0,1,0
1000294559,1,1,1,0,1,0
1000320473,1,1,1,1,0,0
1000328150,1,1,0,0,1,0
1000328328,1,1,0,1,1,1
1000331311,1,1,1,0,0,1
1000332383,1,0,0,0,0,0
1000333671,1,1,1,1,0,1
1000334074,1,0,0,1,0,1
1000335422,1,1,0,0,0,0
1000338818,1,0,0,0,1,1
1000339877,1,1,1,1,0,1
1000340977,1,0,1,0,0,1
1000344383,1,0,0,1,0,1
1000348690,1,1,0,1,0,0
1000348776,1,1,0,1,0,1
1000354338,1,0,1,0,0,1
10003650,1,1,1,0,0,1
1000374001,1,1,0,0,1,0
1000386601,1,0,1,0,1,1
1000389241,1,1,1,0,1,1
1000392220,1,0,0,0,1,1
100039820,1,0,1,1,1,1
1000399155,1,0,0,1,1,1
1000405957,1,1,0,0,1,1
1000413719,1,0,0,1,0,1
1000415969,1,1,0,1,0,1
1000422671,1,0,0,0,0,0
1000427280,1,0,1,1,1,1
1000428719,1,0,1,1,0,0
10004373,1,1,0,1,1,0
100044420,1,0,0,0,0,0
1000445513,1,0,1,1,1,0
1000450327,1,1,0,0,1,0
1000454605,1,0,1,0,1,1
1000465399,1,0,1,0,0,1
1000468345,1,1,1,0,1,1
1000476123,1,1,0,0,0,0
1000479996,1,0,1,1,1,0
1000481607,1,0,1,0,0,1
1000490852,1,0,1,0,1,0
1000491057,1,0,1,0,0,1
1000491830,1,1,0,0,1,1
1000499845,1,1,1,0,1,1
1000509854,1,1,1,1,0,1
1000514796,1,0,0,0,1,1
100051531,1,0,0,1,1,0
1000519001,1,1,0,1,1,0
1000521061,1,0,1,0,1,0
1000521421,1,0,0,1,1,1
1000524949,1,0,0,0,0,1
1000535116,1,1,0,1,0,0
1000537760,1,1,1,1,0,1
1000542390,1,0,1,1,0,0
1000543883,1,0,1,1,0,0
1000545028,1,0,1,0,1,0
1000549881,1,0,1,1,0,0
1000551777,1,0,0,0,1,1
1000553538,1,0,0,1,0,1
1000558429,1,1,1,0,1,1
1000566862,1,0,0,0,0,1
1000567557,1,0,1,0,1,1
100056789,1,1,0,0,0,1
100057323,1,0,0,0,0,0
1000577059,1,0,0,0,0,0
10005784,1,0,0,1,0,0
1000581546,1,1,1,0,1,0
1000581804,1,1,0,0,0,0
1000586849,1,0,1,1,0,1
1000590709,1,1,0,0,0,1
1000598804,1,1,0,0,0,0
1000600012,1,1,0,1,0,0
1000600526,1,0,0,0,0,1
1000600868,1,1,0,1,0,1
1000602156,1,1,1,1,1,0
1000620551,1,1,1,1,0,1
1000624031,1,0,1,0,0,1
1000627718,1,0,0,1,1,0
1000629643,1,1,0,1,1,0
1000638156,1,1,1,1,1,1
1000639526,1,0,1,1,1,1
1000644119,1,0,1,0,0,0
1000648117,1,1,0,0,0,1
1000648918,1,1,1,1,1,0
100065084,1,0,0,0,1,1
1000650960,1,1,1,1,0,1
1000654344,1,0,0,0,1,0
1000654409,1,1,0,1,1,0
1000656794,1,1,1,0,1,0
1000659557,1,1,0,1,1,0
1000674477,1,0,1,0,0,0
1000682368,1,0,0,1,1,1
1000684975,1,1,1,1,1,0
1000694855,1,0,1,0,1,1
1000697657,1,1,0,1,0,0
1000699196,1,0,0,0,0,1
1000707541,1,1,0,0,0,1
1000710630,1,0,0,1,1,0
1000719127,1,1,1,1,1,0
1000725978,1,0,1,0,1,1
1000727191,1,1,0,0,0,1
1000727905,1,0,0,1,0,1
1000741180,1,1,0,1,1,0
1000741387,1,1,1,0,1,0
1000752960,1,0,1,1,0,1
1000754401,1,1,1,0,1,0
1000758916,1,1,0,0,0,0
1000761521,1,1,1,0,0,0
1000767040,1,0,0,1,1,0
1000770149,1,1,1,1,0,0
1000772297,1,1,1,0,1,1
1000776914,1,1,0,1,0,1
1000777557,1,1,1,0,1,0
1000781363,1,1,0,1,1,1
1000781512,1,0,1,1,0,0
1000785030,1,0,1,1,0,1
1000786724,1,0,0,1,1,0
1000788629,1,1,1,0,0,1
100078996,1,1,0,0,1,1
1000802137,1,0,0,0,0,1
1000804307,1,0,0,0,0,1
1000804742,1,0,0,1,1,1
1000810416,1,0,0,1,0,1
1000811882,1,1,1,0,0,1
1000823935,1,1,0,0,0,0
1000827504,1,1,1,1,0,1
1000827890,1,0,1,1,1,1
1000834930,1,1,1,1,1,0
1000844246,1,1,0,1,0,1
1000850525,1,0,0,0,0,0
1000853310,1,1,0,1,0,1
1000865260,1,0,1,1,1,0
1000869383,1,0,1,0,0,0
1000883509,1,1,1,0,1,1
1000885772,1,1,0,1,1,0
100089599,1,1,0,1,0,0
1000896053,1,0,0,1,0,0
1000916036,1,1,1,1,0,0
1000918505,1,1,1,0,0,1
100091944,1,1,0,1,0,1
1000922108,1,0,0,1,1,1
1000932522,1,0,1,1,0,1
1000937140,1,0,1,1,1,1
1000940032,1,0,0,1,1,0
1000942804,1,0,1,0,1,0
1000953875,1,0,0,1,0,0
1000968500,1,0,1,1,0,1
1000983983,1,1,0,1,1,1
1000987760,1,0,0,0,1,0
1000988678,1,0,1,1,0,1
1000988864,1,0,0,1,0,0
1000992739,1,0,1,0,0,0
1000997384,1,0,0,0,0,1
1001000566,1,1,1,0,0,1
100101389,1,1,1,0,1,1
100101652,1,1,1,0,0,1
1001019464,1,0,0,0,0,0
1001020080,1,1,0,1,0,0
100102338,1,1,0,0,0,0
1001028167,1,0,0,0,0,1
1001033266,1,1,0,1,0,0
1001035783,1,1,0,1,0,1
1001042227,1,1,0,0,1,1
1001043181,1,1,0,1,1,0
1001048123,1,1,1,0,1,1
1001052357,1,1,1,0,0,0
1001057158,1,0,0,1,1,0
1001064677,1,0,0,0,0,0
1001077166,1,1,1,1,0,0
1001086968,1,0,0,0,1,1
1001087429,1,0,1,1,0,1
1001087682,1,0,1,0,0,0
1001093391,1,1,1,1,1,0
1001097057,1,0,1,1,0,1
1001110351,1,1,0,1,1,0
1001115961,1,0,0,1,0,1
1001116225,1,1,0,0,1,0
1001126692,1,0,0,0,0,0
1001128468,1,0,1,0,0,1
1001132597,1,0,0,0,0,0
1001135664,1,1,1,1,1,0
1001136944,1,0,0,1,1,1
1001137002,1,1,0,1,0,0
1001143049,1,1,1,1,1,0
1001149306,1,0,1,0,0,1
100114978,1,1,1,1,0,1
1001156528,1,1,0,1,0,0
1001157858,1,0,1,1,1,0
1001159174,1,0,1,1,1,1
1001165113,1,1,1,1,1,0
10011702,1,0,0,0,1,1
1001181420,1,0,0,1,1,0
1001188527,1,1,1,1,1,0
1001190550,1,0,0,1,0,1
1001216413,1,0,0,0,1,0
1001217929,1,0,0,0,1,1
1001218320,1,0,1,0,1,0
1001223817,1,0,1,0,1,1
1001227372,1,1,1,0,1,1
1001228129,1,0,0,1,0,0
1001230250,1,1,1,1,0,1
1001242672,1,0,1,0,0,1
1001243185,1,1,1,1,1,0
1001243867,1,1,0,1,0,1
1001244864,1,0,1,0,0,0
100124630,1,1,0,1,1,1
1001251896,1,1,1,1,0,0
1001259618,1,0,0,0,1,0
1001263250,1,0,1,0,0,0
1001265769,1,0,1,0,1,1
1001270191,1,0,1,1,1,1
