ID,backedLocation,age
1000003930,BR,18
1000004038,US,57
1000007540,US,43
1000011046,BR,29
1000014025,BR,77
1000023410,US,61
1000030581,BR,33
1000034518,GBK,53
100004195,BR,50
100005484,US,32
1000057089,GBK,46
1000064368,US,22
1000064918,GBK,29
1000068480,GBK,56
1000070642,US,46
1000071625,US,19
1000072011,US,36
1000081649,US,18
1000082254,BR,41
1000087442,BR,48
1000091520,GBK,26
1000102741,GBK,74
1000104688,US,21
1000104953,GBK,22
100011318,GBK,18
1000115172,GBK,60
1000117861,BR,29
1000120151,GBK,22
1000120287,US,32
100012079,GBK,47
1000129669,GBK,34
1000131947,GBK,22
1000132945,BR,56
1000134913,BR,18
1000146991,GBK,57
1000149007,BR,59
1000153208,BR,51
1000160286,GBK,56
1000170964,GBK,70
1000171141,GBK,56
1000183112,US,73
1000184224,BR,77
1000190427,US,73
1000197321,US,79
1000201265,BR,29
100020143,BR,30
1000202062,BR,42
1000212914,US,74
1000216800,US,17
1000217634,BR,74
1000227361,BR,45
1000230071,US,30
1000232288,GBK,71
1000233415,US,49
1000234595,US,29
1000235465,US,33
1000235643,GBK,23
1000243793,BR,18
1000252415,BR,72
1000256760,GBK,31
1000257563,GBK,62
1000260691,US,54
1000261018,BR,28
1000268182,US,60
1000278154,BR,29
1000291122,GBK,60
1000294559,BR,69
1000320473,BR,48
1000328150,BR,22
1000328328,BR,34
1000331311,US,75
1000332383,BR,34
1000333671,GBK,30
1000334074,US,19
1000335422,BR,72
1000338818,BR,67
1000339877,GBK,41
1000340977,US,27
1000344383,BR,27
1000348690,GBK,62
1000348776,US,42
1000354338,GBK,48
10003650,BR,70
1000374001,GBK,26
1000386601,BR,32
1000389241,GBK,55
1000392220,GBK,66
100039820,US,72
1000405957,GBK,79
1000413719,US,67
1000415969,GBK,24
1000422671,GBK,53
1000427280,US,46
1000428719,US,53
10004373,US,61
100044420,GBK,39
1000445513,US,34
1000450327,GBK,24
1000454605,US,46
1000465399,US,19
1000468345,US,40
1000479996,GBK,27
1000481607,US,23
1000490852,BR,50
1000491057,BR,58
1000491830,BR,45
1000499845,GBK,75
1000514796,US,39
1000519001,GBK,47
1000521421,GBK,59
1000524949,GBK,29
1000535116,GBK,18
1000542390,BR,53
1000543883,US,44
1000545028,BR,64
1000549881,US,65
1000551777,GBK,54
1000553538,US,22
1000558429,BR,57
1000566862,BR,70
1000567557,US,59
100056789,GBK,70
100057323,US,53
1000577059,GBK,59
10005784,GBK,32
1000581546,BR,70
1000586849,GBK,64
1000590709,GBK,48
1000598804,GBK,53
1000600012,BR,76
1000600868,GBK,46
1000602156,BR,78
1000620551,GBK,70
1000624031,US,51
1000627718,BR,20
1000629643,BR,70
1000638156,US,36
1000639526,BR,77
1000644119,GBK,31
1000648117,GBK,71
1000648918,GBK,76
100065084,BR,49
1000650960,GBK,67
1000654344,BR,37
1000654409,GBK,20
1000656794,BR,29
1000674477,US,43
1000682368,BR,18
1000684975,BR,30
1000694855,US,27
1000697657,BR,36
1000699196,GBK,30
1000707541,GBK,63
1000710630,US,61
1000719127,GBK,55
1000725978,US,59
1000727191,BR,66
1000741180,GBK,68
1000741387,US,63
1000752960,GBK,69
1000754401,US,37
1000758916,GBK,36
1000761521,GBK,77
1000767040,US,38
